17274;17;P�rigny;7633;25;564;15,09%;;;;82886,58;;77;275;75;0;0;0;0
17291;17;Puilboreau;5651;25;264;10,31%;;;;66592,85;;11;104;29;0;0;0;0
17306;17;Royan;17690;25;906;8,04%;;;;370645,17;;120;238;25;0;2;4;0
17333;17;Saint-Georges-de-Didonne;5054;25;121;4,01%;;;;100230,08;81747;0;6;1;0;0;3;0
17380;17;Saint-Palais-sur-Mer;3936;25;11;0,50%;oui;100;;180398,57;151078,74;0;10;0;0;0;1;0
17407;17;Sainte-Soulle;3740;25;53;3,17%;;;;54071,58;54071,58;10;28;20;0;0;0;0
17414;17;Saint-Xandre;4369;25;52;2,68%;;;;61448,36;61448,36;0;11;7;0;0;0;0
17415;17;Saintes;25645;20;2702;19,86%;;;exon�r�e;;;7;278;67;0;0;37;0
17421;17;Saujon;7008;25;185;5,18%;;;;92383,9;54941,27;0;16;0;1;2;5;0
17449;17;Tonnay-Charente;7817;20;276;7,45%;;;;68285,42;66524,19;9;95;0;0;0;1;0
17452;17;La Tremblade;4743;25;182;7,22%;;;;60050,81;60050,81;11;28;0;0;0;6;0
17461;17;Vaux-sur-Mer;3896;25;132;5,98%;oui;29,79;;91482,94;91462,95;1;8;0;0;0;0;0
19005;19;Allassac;3858;20;103;5,77%;;;;31384,24;31384,24;9;79;0;0;4;11;0
19031;19;Brive-la-Gaillarde;47411;20;4078;16,99%;;;exon�r�e;;;284;2500;1128;0;17;121;0
19123;19;Malemort-sur-Corr�ze (Malemort);7582;20;208;5,76%;;;;102573;;6;167;8;0;1;6;0
19153;19;Objat;3564;20;84;4,59%;;;;60354,96;;0;0;0;0;0;0;0
19229;19;Saint-Pantal�on-de-Larche;4722;20;117;5,73%;;;;48948,27;;12;83;5;0;0;3;0
19274;19;Ussac;3994;20;66;3,73%;;;;54260,57;54260,57;2;39;17;0;0;8;0
21171;21;Chevigny-Saint-Sauveur;10330;25;1217;24,71%;;;exon�r�e;;;83;212;33;0;0;2;0
21231;21;Dijon;152071;25;14489;18,06%;;;exon�r�e;;;407;2429;326;20;19;184;0
21278;21;Fontaine-l�s-Dijon;9142;25;415;9,92%;;;;142047,7;142047,7;28;167;19;0;0;0;0
21390;21;Marsannay-la-C�te;5192;25;238;10,64%;;;;76722,44;76722,44;28;64;30;0;1;10;0
21540;21;Saint-Apollinaire;7012;25;543;16,43%;;;;66800,76;66800,76;54;178;19;0;0;3;0
22081;22;Hillion;4049;20;146;8,09%;;;;22870,18;22870,18;5;88;0;0;0;0;0
22106;22;Langueux;7275;20;341;9,89%;;;;59313,12;;17;92;12;0;0;3;0
22168;22;Perros-Guirec;7376;20;415;9,94%;oui;0;;77020,58;75071,56;7;29;25;0;4;9;0
22176;22;Pl�dran;6212;20;279;10,43%;;;;23598,08;;3;131;0;0;0;3;0
22187;22;Pl�rin;14224;20;836;12,70%;oui;0;;74755,2;;77;163;30;0;0;1;7
22194;22;Plestin-les-Gr�ves;3660;20;182;10,08%;;;;16689,96;13490,74;0;17;17;6;0;3;0
